scenario,planner,agents,soc_mean,makespan_mean,steps_mean,runtime_mean
map_p0.05_agents3_n0.json,cooperative,3,90.0,30.0,30.0,0.0017
map_p0.05_agents3_n0.json,prioritized,3,90.0,30.0,30.0,0.0017
map_p0.05_agents3_n0.json,cbs,3,84.0,30.0,30.0,0.0016
map_p0.05_agents3_n1.json,cooperative,3,90.0,30.0,30.0,0.0016
map_p0.05_agents3_n1.json,prioritized,3,90.0,30.0,30.0,0.0017
map_p0.05_agents3_n1.json,cbs,3,84.0,30.0,30.0,0.0015
map_p0.05_agents3_n2.json,cooperative,3,90.0,30.0,30.0,0.0015
map_p0.05_agents3_n2.json,prioritized,3,90.0,30.0,30.0,0.0016
map_p0.05_agents3_n2.json,cbs,3,84.0,30.0,30.0,0.0015
map_p0.05_agents5_n0.json,cooperative,3,150.0,30.0,30.0,0.0022
map_p0.05_agents5_n0.json,prioritized,3,150.0,30.0,30.0,0.0024
map_p0.05_agents5_n0.json,cbs,3,130.0,30.0,30.0,0.0022
map_p0.05_agents5_n1.json,cooperative,3,150.0,30.0,30.0,0.0023
map_p0.05_agents5_n1.json,prioritized,3,150.0,30.0,30.0,0.0023
map_p0.05_agents5_n1.json,cbs,3,130.0,30.0,30.0,0.0021
map_p0.05_agents5_n2.json,cooperative,3,150.0,30.0,30.0,0.0021
map_p0.05_agents5_n2.json,prioritized,3,150.0,30.0,30.0,0.0022
map_p0.05_agents5_n2.json,cbs,3,130.0,30.0,30.0,0.0021
map_p0.15_agents3_n0.json,cooperative,3,90.0,30.0,30.0,0.0013
map_p0.15_agents3_n0.json,prioritized,3,90.0,30.0,30.0,0.0013
map_p0.15_agents3_n0.json,cbs,3,84.0,30.0,30.0,0.0013
map_p0.15_agents3_n1.json,cooperative,3,90.0,30.0,2000.0,0.5614
map_p0.15_agents3_n1.json,prioritized,3,90.0,30.0,2000.0,0.5679
map_p0.15_agents3_n1.json,cbs,3,90.0,30.0,2000.0,1.118
map_p0.15_agents3_n2.json,cooperative,3,90.0,30.0,30.0,0.0013
map_p0.15_agents3_n2.json,prioritized,3,90.0,30.0,30.0,0.0013
map_p0.15_agents3_n2.json,cbs,3,90.0,30.0,30.0,1.3882
map_p0.15_agents5_n0.json,cooperative,3,150.0,30.0,30.0,0.0023
map_p0.15_agents5_n0.json,prioritized,3,150.0,30.0,30.0,0.0021
map_p0.15_agents5_n0.json,cbs,3,132.0,30.0,30.0,0.002
map_p0.15_agents5_n1.json,cooperative,3,150.0,30.0,2000.0,0.5646
map_p0.15_agents5_n1.json,prioritized,3,150.0,30.0,2000.0,0.5528
map_p0.15_agents5_n1.json,cbs,3,150.0,30.0,2000.0,1.0969
map_p0.15_agents5_n2.json,cooperative,3,150.0,30.0,30.0,0.0019
map_p0.15_agents5_n2.json,prioritized,3,150.0,30.0,30.0,0.0016
map_p0.15_agents5_n2.json,cbs,3,150.0,30.0,30.0,1.392
map_p0.3_agents3_n0.json,cooperative,3,3.0,1.0,2000.0,0.4007
map_p0.3_agents3_n0.json,prioritized,3,3.0,1.0,2000.0,0.3908
map_p0.3_agents3_n0.json,cbs,3,3.0,1.0,2000.0,0.5201
map_p0.3_agents3_n1.json,cooperative,3,3.0,1.0,2000.0,0.6331
map_p0.3_agents3_n1.json,prioritized,3,3.0,1.0,2000.0,0.6163
map_p0.3_agents3_n1.json,cbs,3,3.0,1.0,2000.0,0.82
map_p0.3_agents3_n2.json,cooperative,3,102.0,34.0,34.0,0.0018
map_p0.3_agents3_n2.json,prioritized,3,102.0,34.0,34.0,0.0015
map_p0.3_agents3_n2.json,cbs,3,102.0,34.0,34.0,1.3883
map_p0.3_agents5_n0.json,cooperative,3,5.0,1.0,2000.0,0.6774
map_p0.3_agents5_n0.json,prioritized,3,5.0,1.0,2000.0,0.6531
map_p0.3_agents5_n0.json,cbs,3,5.0,1.0,2000.0,0.782
map_p0.3_agents5_n1.json,cooperative,3,5.0,1.0,2000.0,1.0751
map_p0.3_agents5_n1.json,prioritized,3,5.0,1.0,2000.0,1.0374
map_p0.3_agents5_n1.json,cbs,3,5.0,1.0,2000.0,1.2424
map_p0.3_agents5_n2.json,cooperative,3,170.0,34.0,2000.0,0.388
map_p0.3_agents5_n2.json,prioritized,3,170.0,34.0,2000.0,0.3792
map_p0.3_agents5_n2.json,cbs,3,170.0,34.0,2000.0,0.7606
