obstacle_prob,agents,planner,avg_soc,avg_makespan,avg_runtime,runs
0.05,3,cooperative,90.0,30.0,0.0018,3
0.05,3,prioritized,90.0,30.0,0.0018,3
0.05,3,cbs,86.0,30.0,0.5565,3
0.05,5,cooperative,150.0,30.0,0.0022,3
0.05,5,prioritized,150.0,30.0,0.0022,3
0.05,5,cbs,136.67,30.0,0.3694,3
0.15,3,cooperative,61.0,20.33,0.5535,3
0.15,3,prioritized,61.0,20.33,0.5389,3
0.15,3,cbs,57.0,20.33,0.7193,3
0.15,5,cooperative,140.0,28.0,0.5649,3
0.15,5,prioritized,140.0,28.0,0.5375,3
0.15,5,cbs,134.33,28.0,1.0163,3
0.3,3,cooperative,32.0,10.67,0.8999,3
0.3,3,prioritized,32.0,10.67,0.726,3
0.3,3,cbs,32.0,10.67,1.1095,3
0.3,5,cooperative,53.33,10.67,1.1548,3
0.3,5,prioritized,53.33,10.67,1.1398,3
0.3,5,cbs,53.33,10.67,1.5199,3
